CHAVE_PRESTADOR;GRUPO
550001430;INTERCÂMBIO
550001441;INTERCÂMBIO
550001452;INTERCÂMBIO
550001463;INTERCÂMBIO
550001474;INTERCÂMBIO
550001485;INTERCÂMBIO
550001496;INTERCÂMBIO
550001507;INTERCÂMBIO
550001518;INTERCÂMBIO
550001529;INTERCÂMBIO
550001540;INTERCÂMBIO
550001551;INTERCÂMBIO
550001562;INTERCÂMBIO
550001573;INTERCÂMBIO
550001584;FORA DA REDE
550001595;INTERCÂMBIO
550001606;INTERCÂMBIO
550001617;INTERCÂMBIO
550001628;INTERCÂMBIO
550001639;INTERCÂMBIO
550001650;INTERCÂMBIO
550001661;INTERCÂMBIO
550001672;INTERCÂMBIO
550001683;INTERCÂMBIO
550001694;INTERCÂMBIO
550001705;INTERCÂMBIO
550001716;INTERCÂMBIO
550001727;INTERCÂMBIO
550001738;INTERCÂMBIO
550001749;INTERCÂMBIO
550001760;INTERCÂMBIO
550001771;INTERCÂMBIO
550001793;INTERCÂMBIO
550001804;INTERCÂMBIO
550001815;INTERCÂMBIO
550001837;INTERCÂMBIO
550001848;INTERCÂMBIO
550001859;INTERCÂMBIO
550001870;INTERCÂMBIO
550001881;INTERCÂMBIO
550001892;INTERCÂMBIO
550001903;INTERCÂMBIO
550001914;INTERCÂMBIO
294481;CLINICA-TERAPIAS
294492;CREDENCIADO
294503;CREDENCIADO
294514;CREDENCIADO
294525;CREDENCIADO
294536;CREDENCIADO
294547;CREDENCIADO
294558;NÃO-CREDENCIADO
294569;CREDENCIADO
550001936;INTERCÂMBIO
550001947;INTERCÂMBIO
550001958;INTERCÂMBIO
550001969;INTERCÂMBIO
550001980;INTERCÂMBIO
550001991;INTERCÂMBIO
550002002;INTERCÂMBIO
550002013;INTERCÂMBIO
550002024;INTERCÂMBIO
550002035;INTERCÂMBIO
2944810;NÃO-CREDENCIADO
2944821;NÃO-CREDENCIADO
2944832;NÃO-CREDENCIADO
2944843;NÃO-CREDENCIADO
2944854;NÃO-CREDENCIADO
2944865;CREDENCIADO
2944876;NÃO-CREDENCIADO
2944887;NÃO-CREDENCIADO
2944898;NÃO-CREDENCIADO
2944909;NÃO-CREDENCIADO
2944920;NÃO-CREDENCIADO
2944931;NÃO-CREDENCIADO
2944942;NÃO-CREDENCIADO
2945272;NÃO-CREDENCIADO
2944953;NÃO-CREDENCIADO
2944964;NÃO-CREDENCIADO
2945261;NÃO-CREDENCIADO
2944975;NÃO-CREDENCIADO
2945250;NÃO-CREDENCIADO
2944986;NÃO-CREDENCIADO
2945239;NÃO-CREDENCIADO
2944997;NÃO-CREDENCIADO
99231;NÃO-COOPERADOS
550103686;INTERCÂMBIO
550103763;INTERCÂMBIO
550103774;INTERCÂMBIO
2945008;NÃO-CREDENCIADO
2945228;NÃO-CREDENCIADO
2945217;NÃO-CREDENCIADO
2945206;NÃO-CREDENCIADO
2945195;NÃO-CREDENCIADO
2945184;NÃO-CREDENCIADO
2945173;NÃO-CREDENCIADO
2945019;NÃO-CREDENCIADO
2945162;NÃO-CREDENCIADO
2945151;NÃO-CREDENCIADO
2945140;NÃO-CREDENCIADO
2945129;NÃO-CREDENCIADO
2945118;NÃO-CREDENCIADO
550103785;INTERCÂMBIO
99253;NÃO-COOPERADOS
550103851;INTERCÂMBIO
550103862;INTERCÂMBIO
550103873;INTERCÂMBIO
550002057;INTERCÂMBIO
550002068;INTERCÂMBIO
550002101;INTERCÂMBIO
2945107;NÃO-CREDENCIADO
2945096;CLINICA-TERAPIAS
2945085;NÃO-CREDENCIADO
2945074;NÃO-CREDENCIADO
2945063;CREDENCIADO
2945052;NÃO-CREDENCIADO
2945041;NÃO-CREDENCIADO
2945030;NÃO-CREDENCIADO
2945338;NÃO-CREDENCIADO
286011;CLINICA-TERAPIAS
550002145;INTERCÂMBIO
550002156;INTERCÂMBIO
550002178;INTERCÂMBIO
550002211;INTERCÂMBIO
550002244;INTERCÂMBIO
550004708;INTERCÂMBIO
550004719;INTERCÂMBIO
550004741;INTERCÂMBIO
550004774;INTERCÂMBIO
550004796;INTERCÂMBIO
550004818;INTERCÂMBIO
550004851;INTERCÂMBIO
550004873;INTERCÂMBIO
550004906;INTERCÂMBIO
550004939;INTERCÂMBIO
550004972;INTERCÂMBIO
550004994;INTERCÂMBIO
550005027;INTERCÂMBIO
550005060;INTERCÂMBIO
550005093;INTERCÂMBIO
550005115;INTERCÂMBIO
550005148;INTERCÂMBIO
550005170;INTERCÂMBIO
550005192;INTERCÂMBIO
550005225;INTERCÂMBIO
550005258;INTERCÂMBIO
550005280;INTERCÂMBIO
550005313;INTERCÂMBIO
550005500;INTERCÂMBIO
550005533;INTERCÂMBIO
550077077;INTERCÂMBIO
550077088;INTERCÂMBIO
550077099;INTERCÂMBIO
550077110;INTERCÂMBIO
550077121;INTERCÂMBIO
550077132;INTERCÂMBIO
550077143;INTERCÂMBIO
550005346;INTERCÂMBIO
550005357;INTERCÂMBIO
550005368;INTERCÂMBIO
550005401;INTERCÂMBIO
550005434;INTERCÂMBIO
550005456;INTERCÂMBIO
550005489;INTERCÂMBIO
550005566;INTERCÂMBIO
550005610;INTERCÂMBIO
550005632;INTERCÂMBIO
550005665;INTERCÂMBIO
550005698;INTERCÂMBIO
95337;NÃO-COOPERADOS
550005819;INTERCÂMBIO
550005830;INTERCÂMBIO
550005852;INTERCÂMBIO
550006138;INTERCÂMBIO
550006149;INTERCÂMBIO
2945437;NÃO-CREDENCIADO
550006545;INTERCÂMBIO
550006556;INTERCÂMBIO
550006589;INTERCÂMBIO
550006611;INTERCÂMBIO
550006644;INTERCÂMBIO
74437;COOPERADO
550005797;INTERCÂMBIO
550005808;INTERCÂMBIO
98351;CLINICA-TERAPIAS
98373;CLINICA-TERAPIAS
550005863;INTERCÂMBIO
550005940;INTERCÂMBIO
550005951;INTERCÂMBIO
98362;CLINICA-TERAPIAS
2945448;NÃO-CREDENCIADO
2945459;NÃO-CREDENCIADO
28182;CLINICA-TERAPIAS
98384;CLINICA-TERAPIAS
24618;CLINICA-TERAPIAS
550006699;INTERCÂMBIO
550006754;INTERCÂMBIO
550006787;INTERCÂMBIO
550006798;INTERCÂMBIO
550006820;INTERCÂMBIO
550006853;INTERCÂMBIO
550006886;INTERCÂMBIO
550002970;INTERCÂMBIO
550002981;INTERCÂMBIO
550002992;INTERCÂMBIO
550003003;INTERCÂMBIO
550003036;INTERCÂMBIO
550003047;INTERCÂMBIO
550003091;INTERCÂMBIO
550003168;INTERCÂMBIO
550004246;INTERCÂMBIO
550004279;INTERCÂMBIO
550004312;INTERCÂMBIO
550004345;INTERCÂMBIO
550004378;INTERCÂMBIO
550004400;INTERCÂMBIO
550005599;INTERCÂMBIO
550005731;INTERCÂMBIO
550006094;INTERCÂMBIO
550006116;INTERCÂMBIO
550006182;INTERCÂMBIO
550006215;INTERCÂMBIO
550006259;INTERCÂMBIO
550006281;INTERCÂMBIO
550006314;INTERCÂMBIO
550006347;INTERCÂMBIO
550006380;INTERCÂMBIO
550063393;INTERCÂMBIO
550132583;INTERCÂMBIO
550132594;INTERCÂMBIO
550132605;INTERCÂMBIO
550132616;INTERCÂMBIO
550132627;INTERCÂMBIO
550132638;INTERCÂMBIO
550132649;INTERCÂMBIO
550005764;INTERCÂMBIO
550005874;INTERCÂMBIO
550005885;INTERCÂMBIO
550005918;INTERCÂMBIO
550005984;INTERCÂMBIO
550006017;INTERCÂMBIO
550006050;INTERCÂMBIO
550006083;INTERCÂMBIO
550006402;INTERCÂMBIO
550006435;INTERCÂMBIO
550006468;INTERCÂMBIO
550006501;INTERCÂMBIO
550006523;INTERCÂMBIO
22044;NÃO-COOPERADOS
550006666;INTERCÂMBIO
550006677;INTERCÂMBIO
98395;CLINICA-TERAPIAS
24629;CLINICA-TERAPIAS
550006908;INTERCÂMBIO
550006941;INTERCÂMBIO
550006952;INTERCÂMBIO
550006985;INTERCÂMBIO
550007007;INTERCÂMBIO
550007040;INTERCÂMBIO
550003102;INTERCÂMBIO
550003113;INTERCÂMBIO
550003124;INTERCÂMBIO
550003135;INTERCÂMBIO
550003146;INTERCÂMBIO
550003223;INTERCÂMBIO
550003256;INTERCÂMBIO
550003289;INTERCÂMBIO
550003322;INTERCÂMBIO
550003344;INTERCÂMBIO
550003377;INTERCÂMBIO
550003410;INTERCÂMBIO
550003443;INTERCÂMBIO
550003465;INTERCÂMBIO
550003498;INTERCÂMBIO
550003531;INTERCÂMBIO
550003564;INTERCÂMBIO
550003586;INTERCÂMBIO
550003619;INTERCÂMBIO
550003652;INTERCÂMBIO
550003685;INTERCÂMBIO
550003707;INTERCÂMBIO
550003740;INTERCÂMBIO
550003773;INTERCÂMBIO
550003806;INTERCÂMBIO
550063470;INTERCÂMBIO
550063536;INTERCÂMBIO
550063547;INTERCÂMBIO
550063558;INTERCÂMBIO
550063569;INTERCÂMBIO
550063602;INTERCÂMBIO
550063613;INTERCÂMBIO
550003861;INTERCÂMBIO
550003872;INTERCÂMBIO
550003894;INTERCÂMBIO
550003927;INTERCÂMBIO
550003971;INTERCÂMBIO
550003993;INTERCÂMBIO
550004015;INTERCÂMBIO
550004026;INTERCÂMBIO
550004037;INTERCÂMBIO
550004048;INTERCÂMBIO
550004092;INTERCÂMBIO
550004125;INTERCÂMBIO
550004147;INTERCÂMBIO
550004180;INTERCÂMBIO
550004191;INTERCÂMBIO
550004422;INTERCÂMBIO
550004455;INTERCÂMBIO
550004477;INTERCÂMBIO
550004510;INTERCÂMBIO
550004543;INTERCÂMBIO
550004576;INTERCÂMBIO
550004598;INTERCÂMBIO
550004620;INTERCÂMBIO
550004653;INTERCÂMBIO
550004686;INTERCÂMBIO
550096140;INTERCÂMBIO
550096151;INTERCÂMBIO
550096162;INTERCÂMBIO
99033;NÃO-COOPERADOS
550007172;INTERCÂMBIO
550007183;INTERCÂMBIO
550007205;INTERCÂMBIO
550007227;INTERCÂMBIO
550007249;INTERCÂMBIO
550007271;INTERCÂMBIO
550007304;INTERCÂMBIO
550007337;INTERCÂMBIO
550007359;INTERCÂMBIO
550007392;INTERCÂMBIO
550007425;INTERCÂMBIO
550007458;INTERCÂMBIO
550007480;INTERCÂMBIO
550007513;INTERCÂMBIO
550007546;INTERCÂMBIO
550007579;INTERCÂMBIO
550007601;INTERCÂMBIO
550007634;INTERCÂMBIO
550007645;INTERCÂMBIO
550007678;INTERCÂMBIO
550007711;INTERCÂMBIO
550007733;INTERCÂMBIO
550007766;INTERCÂMBIO
